wellName,datasetName,DEPT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL,Core_facies1
,,ft,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v,
ADSW-4ST3,ADSW-4ST3,6838,104.4092,0.84,0.47,0.01141895,0.1515151,2.4,0.9246349,-9999
ADSW-4ST3,ADSW-4ST3,6838.5,101.4269,0.82,0.45,0.01650226,0.1454545,2.41,0.8865469,-9999
ADSW-4ST3,ADSW-4ST3,6839,100.23,0.84,0.48,0,0.1333333,2.43,1,-9999
ADSW-4ST3,ADSW-4ST3,6839.5,100.6966,0.87,0.51,0,0.1333333,2.43,1,-9999
ADSW-4ST3,ADSW-4ST3,6840,103.5774,0.86,0.51,0,0.1393939,2.42,1,-9999
ADSW-4ST3,ADSW-4ST3,6840.5,103.4962,0.82,0.5,0,0.1454545,2.41,1,-9999
ADSW-4ST3,ADSW-4ST3,6841,103.0601,0.78,0.48,0.004474491,0.1454545,2.41,0.9692379,-9999
ADSW-4ST3,ADSW-4ST3,6841.5,101.8834,0.78,0.49,0.000465228,0.1454545,2.41,0.9968016,-9999
ADSW-4ST3,ADSW-4ST3,6842,103.6078,0.76,0.48,0.004474491,0.1454545,2.41,0.9692379,-9999
ADSW-4ST3,ADSW-4ST3,6842.5,108.3855,0.81,0.5,0.001530607,0.1575757,2.39,0.9902865,-9999
ADSW-4ST3,ADSW-4ST3,6843,109.2173,1.05,0.5,0.01069167,0.1757576,2.36,0.9391681,-9999
ADSW-4ST3,ADSW-4ST3,6843.5,112.9502,1.1,0.49,0.008888144,0.1636363,2.38,0.9456835,-9999
ADSW-4ST3,ADSW-4ST3,6844,116.1455,1.08,0.48,0.00191288,0.1393939,2.42,0.9862772,-9999
ADSW-4ST3,ADSW-4ST3,6844.5,117.4845,1.07,0.46,0.004425455,0.1272727,2.44,0.9652286,-9999
ADSW-4ST3,ADSW-4ST3,6845,114.5428,0.95,0.45,0.005490396,0.1212121,2.45,0.9547042,-9999
ADSW-4ST3,ADSW-4ST3,6845.5,110.7084,0.92,0.43,0.01494975,0.1272727,2.44,0.8825377,-9999
ADSW-4ST3,ADSW-4ST3,6846,111.3069,0.92,0.41,0.0288083,0.1393939,2.42,0.7933317,-9999
ADSW-4ST3,ADSW-4ST3,6846.5,110.394,0.8,0.41,0.0364768,0.1515151,2.4,0.759253,-9999
ADSW-4ST3,ADSW-4ST3,6847,108.6898,0.8,0.41,0.0364768,0.1515151,2.4,0.759253,-9999
ADSW-4ST3,ADSW-4ST3,6847.5,104.044,0.81,0.44,0.02051152,0.1454545,2.41,0.8589833,-9999
