wellName,datasetName,DEPT,DT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL
,,ft,US/FT,gAPI,OHMM,frac,v/v,v/v,g/cm3,v/v
AD-1,AD-1,56,-9999,47.40974,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,56.5,-9999,48.39169,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,57,-9999,50.58825,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,57.5,-9999,50.58734,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,58,-9999,50.58313,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,58.5,-9999,50.23075,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,59,-9999,49.73666,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,59.5,-9999,50.15401,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,60,-9999,49.30985,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,60.5,-9999,48.88641,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,61,-9999,50.55468,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,61.5,-9999,50.55328,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,62,-9999,50.9707,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,62.5,-9999,50.00368,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,63,-9999,49.16057,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,63.5,-9999,48.52772,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,64,-9999,47.60107,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,64.5,-9999,47.17804,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,65,-9999,46.75306,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,65.5,-9999,47.58649,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,66,-9999,47.58509,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,66.5,-9999,48.41713,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,67,-9999,48.73215,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,67.5,-9999,48.83174,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,68,-9999,47.98429,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,68.5,-9999,49.23654,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,69,-9999,49.23514,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,69.5,-9999,50.4846,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,70,-9999,50.30196,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,70.5,-9999,49.22197,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,71,-9999,49.21559,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,71.5,-9999,49.63153,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,72,-9999,49.63013,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,72.5,-9999,50.87959,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,73,-9999,50.87629,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,73.5,-9999,50.03445,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,74,-9999,48.35496,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,74.5,-9999,48.35075,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,75,-9999,48.34431,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,75.5,-9999,48.76173,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,76,-9999,48.68541,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,76.5,-9999,48.334,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,77,-9999,48.05045,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,77.5,-9999,47.62784,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,78,-9999,46.50222,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,78.5,-9999,46.22315,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,79,-9999,46.21804,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,79.5,-9999,46.7628,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,80,-9999,48.00111,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,80.5,-9999,49.13709,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,81,-9999,49.13401,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,81.5,-9999,49.12868,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,82,-9999,49.5461,-9999,-9999,-9999,-9999,-9999,-9999
