wellName,datasetName,DEPT,DT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL
,,ft,US/F,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v
AD-3,AD-3,5216.5,117.8451,68.65681,1.2158,0.3699707,0.2362897,0.3090909,2.14,0.2355332
AD-3,AD-3,5217,117.2279,69.54448,1.2192,0.3654785,0.2279455,0.3018182,2.152,0.244759
AD-3,AD-3,5217.5,116.6834,70.18195,1.2376,0.3587402,0.2386126,0.3042424,2.148,0.2157155
AD-3,AD-3,5218,116.592,70.64809,1.2564,0.3609863,0.2364579,0.3042424,2.148,0.2227977
AD-3,AD-3,5218.5,116.5613,70.65958,1.2754,0.3677246,0.2223831,0.2998182,2.1553,0.2582735
AD-3,AD-3,5219,116.8966,70.46669,1.292,0.3879395,0.1935348,0.2938182,2.1652,0.3413111
AD-3,AD-3,5219.5,117.3052,70.86703,1.2935,0.3879395,0.1830812,0.2872121,2.1761,0.3625576
AD-3,AD-3,5220,117.28,72.6819,1.3096,0.3722168,0.2032198,0.2908485,2.1701,0.3012865
AD-3,AD-3,5220.5,117.252,74.78187,1.3204,0.3564941,0.2175366,0.2907878,2.1702,0.2519059
AD-3,AD-3,5221,116.9919,76.74974,1.3247,0.354248,0.2166351,0.2890303,2.1731,0.2504762
AD-3,AD-3,5221.5,116.796,78.15314,1.3448,0.3609863,0.2054006,0.2859394,2.1782,0.281664
AD-3,AD-3,5222,116.6647,79.01897,1.3494,0.3856934,0.1812382,0.2847272,2.1802,0.3634673
AD-3,AD-3,5222.5,116.34,79.79353,1.3509,0.3834473,0.187054,0.2871516,2.1762,0.3485878
AD-3,AD-3,5223,116.2036,80.05965,1.3682,0.3744629,0.2008642,0.2906667,2.1704,0.3089534
AD-3,AD-3,5223.5,115.8732,80.07413,1.3791,0.3654785,0.2090985,0.2906667,2.1704,0.2806244
AD-3,AD-3,5224,116.2451,79.28429,1.3806,0.3564941,0.2215334,0.2931515,2.1663,0.2443039
AD-3,AD-3,5224.5,116.2358,78.18225,1.3829,0.3564941,0.2276482,0.2967273,2.1604,0.2328033
AD-3,AD-3,5225,117.1627,77.4438,1.3592,0.3587402,0.2317182,0.300303,2.1545,0.2283854
AD-3,AD-3,5225.5,117.7323,77.14116,1.3602,0.3699707,0.229307,0.3050909,2.1466,0.2483978
AD-3,AD-3,5226,118.1421,77.00307,1.3368,0.376709,0.2289861,0.3086666,2.1407,0.2581444
AD-3,AD-3,5226.5,117.8344,76.9746,1.3388,0.3812012,0.2224295,0.3073939,2.1428,0.2764022
AD-3,AD-3,5227,117.688,77.29744,1.3158,0.3699707,0.2354379,0.3086061,2.1408,0.2370924
AD-3,AD-3,5227.5,117.6492,77.98708,1.3165,0.3632324,0.2419948,0.3086061,2.1408,0.2158457
AD-3,AD-3,5228,118.0119,78.56611,1.318,0.3654785,0.2461779,0.3121818,2.1349,0.2114277
AD-3,AD-3,5228.5,117.984,78.7114,1.3194,0.3744629,0.2352004,0.3109697,2.1369,0.2436549
AD-3,AD-3,5229,118.3653,78.46864,1.3209,0.3722168,0.2372958,0.310909,2.137,0.2367677
AD-3,AD-3,5229.5,118.348,77.90993,1.3224,0.3677246,0.2459187,0.3132727,2.1331,0.2150012
AD-3,AD-3,5230,118.32,77.66032,1.3238,0.3609863,0.2512573,0.3125454,2.1343,0.1960935
AD-3,AD-3,5230.5,118.292,78.04688,1.3253,0.3744629,0.2270736,0.3063031,2.1446,0.2586637
AD-3,AD-3,5231,118.264,78.68914,1.3268,0.3901855,0.1968116,0.2971516,2.1597,0.3376725
AD-3,AD-3,5231.5,117.8526,79.39562,1.3282,0.3879395,0.1914024,0.2924849,2.1674,0.3455992
AD-3,AD-3,5232,117.808,79.7378,1.3297,0.3834473,0.1919528,0.2902425,2.1711,0.3386468
AD-3,AD-3,5232.5,117.7701,79.50645,1.3312,0.3789551,0.2007717,0.2931515,2.1663,0.3151264
AD-3,AD-3,5233,118.1391,79.41988,1.3326,0.376709,0.2115572,0.2984243,2.1576,0.2910857
AD-3,AD-3,5233.5,118.9065,79.58608,1.3341,0.376709,0.2187971,0.3027272,2.1505,0.2772466
AD-3,AD-3,5234,120.441,80.47432,1.3356,0.376709,0.2245916,0.3061212,2.1449,0.266331
AD-3,AD-3,5234.5,121.6663,81.1993,1.3371,0.3789551,0.2254411,0.3078788,2.142,0.2677603
AD-3,AD-3,5235,121.3009,81.52391,1.3385,0.3812012,0.2259715,0.3094545,2.1394,0.2697747
